"Response","Resolution","model_type","Predictor","Estimate","Q5","Q95","Q11","Q89","direction","r2"
"BetaDiv_jac","10","only_threshold_min","Forest_coverage_2007",-0.137913711525,-0.1722043,-0.1030958,-0.16370487,-0.11208147,"Negative",0.5
"BetaDiv_jac","10","only_threshold_min","Forest_patch_area",1.4458751400378e-05,5.1513595e-06,2.391571e-05,7.53243e-06,2.1524986e-05,"Positive",0.5
"BetaDiv_jac","10","only_threshold_min","bio15",-0.00123899575572267,-0.003528076,0.0010324015,-0.0029510451,0.00048603659,"Null",0.5
"BetaDiv_jac","10","only_threshold_min","bio17",-2.92917704423667e-05,-0.0002181514,0.00016280745,-0.0001720133,0.00011423555,"Null",0.5
"BetaDiv_jac","10","only_threshold_min","bio2",-0.0198585523623142,-0.042354515,0.00230045999999999,-0.036717889,-0.0032529789,"Negative",0.5
"BetaDiv_jac","10","only_threshold_min","bio6",0.0197197771834092,-0.0099852535,0.0491865,-0.00238072,0.041976694,"Null",0.5
"BetaDiv_jac","10","only_threshold_min","bio7",0.01521186326368,-0.01475767,0.046177975,-0.0075393478,0.037933203,"Null",0.5
"BetaDiv_jac","10","only_threshold_min","elevation",0.000164345552937167,1.3264e-05,0.00031562825,5.0886529e-05,0.00027765263,"Positive",0.5
"BetaDiv_jac","10","only_threshold_min","nslatitudinal_eingevectordfEQ31",-0.0429670483447833,-0.07156445,-0.01334578,-0.064657763,-0.021462389,"Negative",0.5
"BetaDiv_jac","10","only_threshold_min","nslatitudinal_eingevectordfEQ32",-0.09152286964815,-0.19605835,0.0115004699999999,-0.17004508,-0.014674587,"Negative",0.5
"BetaDiv_jac","10","only_threshold_min","nslatitudinal_eingevectordfEQ33",0.000950839027224167,-0.044880895,0.046930455,-0.033655949,0.035363791,"Null",0.5
"BetaDiv_jac","10","only_threshold_min","nslongitudinal_eingevectordfEQ31",0.0444775649669192,-0.02785141,0.115357,-0.0089885152,0.097104371,"Null",0.5
