,Parameter,Median,CI,CI_low,CI_high,Direction,Significance,Large,mod
9,b_Intercept,0.5815155,0.95,-0.37151915,1.523372,0.88275,0.88075,0.874083333333333,mod_levdata_10a_only_threshold_min_BetaDiv_jac_splines
8,b_Forest_patch_area,1.44738e-05,0.95,3.41427625e-06,2.56242325e-05,0.9945,0,0,mod_levdata_10a_only_threshold_min_BetaDiv_jac_splines
7,b_Forest_coverage_2007,-0.138107,0.95,-0.17890215,-0.0963277475,1,1,1,mod_levdata_10a_only_threshold_min_BetaDiv_jac_splines
3,b_bio2,-0.0198262,0.95,-0.0464232775,0.00661791875,0.930666666666667,0.8965,0.597583333333333,mod_levdata_10a_only_threshold_min_BetaDiv_jac_splines
4,b_bio6,0.01980745,0.95,-0.0156251,0.054662925,0.8635,0.8275,0.570833333333333,mod_levdata_10a_only_threshold_min_BetaDiv_jac_splines
5,b_bio7,0.01494085,0.95,-0.0204472175,0.05239924,0.79225,0.746,0.4715,mod_levdata_10a_only_threshold_min_BetaDiv_jac_splines
1,b_bio15,-0.001233615,0.95,-0.003989314,0.00144405425,0.814166666666667,0.13925,0,mod_levdata_10a_only_threshold_min_BetaDiv_jac_splines
2,b_bio17,-3.00893e-05,0.95,-0.0002574474,0.000200459975,0.59675,0,0,mod_levdata_10a_only_threshold_min_BetaDiv_jac_splines
6,b_elevation,0.0001637565,0.95,-1.70401575e-05,0.0003451721,0.961916666666667,0,0,mod_levdata_10a_only_threshold_min_BetaDiv_jac_splines
16,b_sampling_effort,-0.0700432,0.95,-0.12244945,-0.01811396,0.99475,0.993083333333333,0.977833333333333,mod_levdata_10a_only_threshold_min_BetaDiv_jac_splines
13,b_nslongitudinal_eingevectordfEQ31,0.0447859,0.95,-0.0420042925,0.13012955,0.847916666666667,0.832416666666667,0.7395,mod_levdata_10a_only_threshold_min_BetaDiv_jac_splines
14,b_nslongitudinal_eingevectordfEQ32,0.02003645,0.95,-0.11086555,0.152312225,0.621666666666667,0.605666666666667,0.524,mod_levdata_10a_only_threshold_min_BetaDiv_jac_splines
15,b_nslongitudinal_eingevectordfEQ33,0.0168632,0.95,-0.11022455,0.140323425,0.60025,0.585333333333333,0.502416666666667,mod_levdata_10a_only_threshold_min_BetaDiv_jac_splines
10,b_nslatitudinal_eingevectordfEQ31,-0.0430029,0.95,-0.0771151675,-0.00777232450000001,0.99125,0.987666666666667,0.93325,mod_levdata_10a_only_threshold_min_BetaDiv_jac_splines
11,b_nslatitudinal_eingevectordfEQ32,-0.09141405,0.95,-0.213155975,0.0339586474999998,0.927333333333333,0.92175,0.885,mod_levdata_10a_only_threshold_min_BetaDiv_jac_splines
12,b_nslatitudinal_eingevectordfEQ33,0.000901024,0.95,-0.0538423625,0.0565496475,0.514083333333333,0.4725,0.286583333333333,mod_levdata_10a_only_threshold_min_BetaDiv_jac_splines
91,b_Intercept,36.445,0.95,-51.9686,127.358775,0.7895,0.787166666666667,0.776166666666667,mod_levdata_10a_only_threshold_min_Rich_ratio_splines
