UA;classe;Grade;Área com floresta (m²);Data
1000;floresta;Grade 5;1100;
35;restinga;Grade 10;1800;24/11/2009 - 25/11/2009
992;floresta;Grade 10;1800;26/11/2009 - 28/11/2009
74;floresta;Grade 20;2000;30/11/2009 - 01/12/2009
139;floresta;Grade 10;2000;28/04/2009 - 29/04/2009
228;restinga;Grade 20;2000;27/04/2009 - 28/04/2009
391;restinga;Grade 10;2000;01/02/2010 - 04/02/2010
941;floresta;Grade 10;2000;26/09/2009 - 29/09/2009
8010;restinga;extra;2000;20/02/2010 - 25/02/2010
174;floresta;Grade 20;2200;31/05/2010 - 01/06/2010
254;floresta;Grade 10;2200;10/5/2011
281;floresta;Grade 10;2200;07/06/2010 - 15/06/2010
2623;floresta;Grade 10;2200;16/12/2008 - 17/12/2008
255;floresta;Grade 10;2400;19/04/2011
576;floresta;Grade 10;2400;19/04/2011
865;floresta;Grade 20;2400;1/6/2011
341;floresta;Grade 20;2500;27/03/2008
575;floresta;Grade 10;2500;1/6/2011
426;floresta;Grade 10;2600;1/6/2011
430;floresta;Grade 10;2600;31/05/2011
748;floresta;Grade 10;2600;9/6/2011
853;floresta;Grade 20;2600;12/5/2011
860;floresta;Grade 10;2600;17/02/2010 - 18/02/2010
2056;floresta;Grade 5;2600;03/05/2008 - 04/05/2008
3197;floresta;Grade 5;2600;1/5/2008
95;floresta;Grade 10;2700;9/6/2011
517;floresta;Grade 20;2700;11/5/2011
142;floresta;Grade 10;2800;11/5/2011
344;floresta;Grade 10;2800;03/05/2010 - 04/05/2010
352;floresta;Grade 10;2800;5/5/2008
427;floresta;Grade 20;2800;30/04/2010
737;floresta;Grade 20;2800;15/03/2011
804;floresta;Grade 10;2800;13/06/2008 - 15/06/2008
807;floresta;Grade 10;2800;20/05/2008
1001;floresta;Grade 20;2800;11/04/2008 - 12/04/2008
1026;floresta;Grade 10;2800;02/12/2009 - 03/12/2009
1774;floresta;Grade 10;2800;12/6/2009
1965;floresta;Grade 10;2800;19/05/2009 - 20/05/2009
2170;floresta;Grade 5;2800;24/04/2010 - 28/04/2010
435;floresta;Grade 10;2900;27/01/2010 - 30/01/2010
1694;floresta;Grade 5;2900;19/02/2010 - 20/02/2010
49;floresta;Grade 10;3000;22/02/2010 - 23/02/2010
77;floresta;Grade 10;3000;24/02/2010 - 11/03/2010
87;floresta;Grade 10;3000;09/04/2008 - 10/04/2008
251;floresta;Grade 10;3000;05/04/2010 -07/04/2010
301;floresta;Grade 10;3000;04/02/2010 - 18/02/2010
310;floresta;Grade 10;3000;07/07/2010 - 08/07/2010
351;floresta;Grade 20;3000;17/03/2010 - 19/03/2010
378;floresta;Grade 10;3000;13/03/2008
386;floresta;Grade 10;3000;2/27/2008
470;floresta;Grade 10;3000;10/6/2011
522;floresta;Grade 10;3000;27/05/2008
551;floresta;Grade 10;3000;5/26/2008
582;floresta;Grade 10;3000;2/20/2008
584;floresta;Grade 10;3000;24/04/2010 - 25/04/2010
745;floresta;Grade 20;3000;23/04/2009 - 24/04/2009
753;floresta;Grade 20;3000;10/06/2009 - 11/06/2009
797;floresta;Grade 10;3000;14/09/2009 - 17/09/2009
798;floresta;Grade 10;3000;8/6/2011
803;floresta;Grade 10;3000;3/5/2011
905;floresta;Grade 10;3000;10/6/2011
909;floresta;Grade 10;3000;20/06/2011
951;floresta;Grade 10;3000;22/06/2011
1027;floresta;Grade 20;3000;04/11/2009 - 05/11/2009
1388;floresta;Grade 5;3000;13/12/2008
1619;floresta;Grade 10;3000;23/06/2009 - 24/06/2009
2079;floresta;Grade 5;3000;25/05/2011
2425;floresta;Grade 20;3000;19/04/2010 - 01/05/2010
2515;floresta;Grade 5;3000;14/04/2008 - 15/04/2008
3520;floresta;Grade 5;3000;16/04/2008 - 17/04/2008
8009;floresta;extra;3000;20/06/2011
50;floresta;Grade 20;3100;30/01/2010 - 02/02/2010
487;floresta;Grade 20;3100;21/05/2009 - 22/05/2009
40;floresta;Grade 10;3200;15/03/2010 - 16/03/2010
58;floresta;Grade 10;3200;08/04/2010 - 30/04/2010
284;floresta;Grade 20;3200;28/01/2010 - 29/01/2010
286;floresta;Grade 20;3200;13/10/2009 - 14/10/2009
312;floresta;Grade 10;3200;30/03/2010 - 31/03/2010
377;floresta;Grade 10;3200;12/5/2011
383;floresta;Grade 10;3200;06/04/2010 - 07/04/2010
384;floresta;Grade 10;3200;23/02/2010 -26/02/2010
387;floresta;Grade 10;3200;14/12/2007 - 15/12/2007
392;floresta;Grade 10;3200;08/07/2010 - 12/07/2010
526;floresta;Grade 10;3200;26/05/2011
677;floresta;Grade 5;3200;22/09/2009 - 23/09/2009
689;floresta;Grade 10;3200;07/04/2010 - 08/04/2010
993;floresta;Grade 10;3200;12/5/2011
2645;floresta;Grade 10;3200;5/22/2008
206;floresta;Grade 20;3300;16/06/2010 - 17/06/2010
336;floresta;Grade 10;3300;14/12/2010 - 15/12/2010
1047;floresta;Grade 10;3300;13/03/2010 - 16/03/2010
4;floresta;Grade 10;3400;14/04/2011
23;floresta;Grade 10;3400;1/12/2008
81;floresta;Grade 10;3400;23/05/2008
141;floresta;Grade 10;3400;17/06/2008
242;floresta;Grade 10;3400;17/06/2008 - 18/06/2008
309;floresta;Grade 10;3400;25/05/2009 - 26/05/2009
317;floresta;Grade 10;3400;18/04/2011
830;floresta;Grade 10;3400;12/03/2010 - 13/03/2010
884;floresta;Grade 10;3400;14/04/2010
994;floresta;Grade 10;3400;6/6/2010
1123;floresta;Grade 5;3400;17/11/2009 - 19/11/2009
